source,relation,target,source_type,target_type
anode,measures,acceleration,Diagnostic Device,Quantity
inductor,measures,converter,Diagnostic Device,Quantity
nozzle,usedIn_ResearchActivity_hasPlasmaSource,welding and cutting,Diagnostic Device,Plasma Source
electrical quantities,usesDevice_Device_measures,surface charges,Scientific Experiment,Quantity
inductor,usedIn_ResearchActivity_hasPlasmaSource,first electrode,Diagnostic Device,Plasma Source
MHz range,unit_of,frequencies,Unit,Quantity
E N,hasUnit,Td,Quantity,Unit
generator,measures,phase,Diagnostic Device,Quantity
vacuum chamber,usesDevice_Device_measures,pulse energy,Scientific Experiment,Quantity
power generator,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
controller,usedIn_ResearchActivity_hasPlasmaSource,positive and negative polarities,Diagnostic Device,Plasma Source
velocities,hasUnit,mm,Quantity,Unit
kV,unit_of,electron density,Unit,Quantity
maximal discharge current,hasUnit,1vol,Quantity,Unit
torch,measures,time,Plasma Source,Quantity
current -conducting vacuum chamber,measures,circuit,Diagnostic Device,Quantity
wafer,usedToDiagnose_MaterialEntity_hasApplicationField,etching,Diagnostic Device,Application Field
V,unit_of,discharge voltage,Unit,Quantity
apparatus which,usedToDiagnose_MaterialEntity_hasApplicationField,polymer -hardening precursor,Diagnostic Device,Application Field
ion beam,measures,thickness,Plasma Source,Quantity
power supply,measures,frequency,Diagnostic Device,Quantity
coils,usedIn_ResearchActivity_hasPlasmaSource,jets,Diagnostic Device,Plasma Source
devices,usedIn_ResearchActivity_hasPlasmaSource,silent discharges,Diagnostic Device,Plasma Source
spectrometer,measures,integration time,Diagnostic Device,Quantity
diameter,hasUnit,bar an,Quantity,Unit
microdischarges,uses,air,Plasma Source,Medium
standard condition,usesDevice_Device_measures,gas temperature,Scientific Experiment,Quantity
ns,unit_of,frequency,Unit,Quantity
electron ring,measures,accelerating field,Diagnostic Device,Quantity
experimental data,usesDevice_Device_measures,reduced electric field,Scientific Experiment,Quantity
filament position,hasUnit,sccm,Quantity,Unit
np,usedIn_ResearchActivity_hasPlasmaSource,plasma reaction chamber,Diagnostic Device,Plasma Source
fundamental plasma parameters,hasApplicationField,controlling MD properties,Plasma Study,Application Field
High -density plasma,hasApplicationField,deposition,Plasma Study,Application Field
plasma temperature,generatedBy_measures,time,Plasma Study,Quantity
high -frequency,generatedBy_measures,flow rate,Plasma Study,Quantity
oscilloscope,measures,voltage signals,Diagnostic Device,Quantity
conductors,usedIn_ResearchActivity_hasMedium,ions,Diagnostic Device,Medium
antenna,measures,relative permittivity,Diagnostic Device,Quantity
experimental results,investigates,production of CO,Scientific Experiment,Physical Effect
Tektronix P6015A,measures_hasUnit,GS,Diagnostic Device,Unit
gas mixture,used_in,DC discharges,Medium,Plasma Source
optical emissions spectroscopy,hasMedium,oxygen admixture,Scientific Experiment,Medium
passive diagnostics,usesDevice_Device_measures,pulse energy,Scientific Experiment,Quantity
plasma reactor,usedIn_ResearchActivity_investigates,oxidation,Diagnostic Device,Physical Effect
capacitive device,usedIn_ResearchActivity_hasPlasmaSource,torch,Diagnostic Device,Plasma Source
APTDs,uses,admixtures of O 2 or N 2 O,Plasma Source,Medium
diameter,hasUnit,μm,Quantity,Unit
net current,hasUnit,nanoseconds,Quantity,Unit
APPARATUS,usedIn_ResearchActivity_hasPlasmaSource,JETS,Diagnostic Device,Plasma Source
TWMCS,usedIn_ResearchActivity_hasPlasmaSource,electron beam,Diagnostic Device,Plasma Source
accumulated negative charges,hasUnit,Td,Quantity,Unit
anode glow,generatedBy_measures,gap voltage,Plasma Study,Quantity
optical fiber,measures_hasUnit,cm,Diagnostic Device,Unit
stable discharge conditions,generatedBy_measures,negative ion densities,Plasma Study,Quantity
negative -electrode terminal,uses,gas,Plasma Source,Medium
plasmadynamic converter,measures,electrical energy,Diagnostic Device,Quantity
P6015A,measures_hasUnit,MHz,Diagnostic Device,Unit
source,measures,high voltage,Plasma Source,Quantity
current measurements,usesDevice_Device_measures,duration,Scientific Experiment,Quantity
streak camera,measures,width,Diagnostic Device,Quantity
heat source,usedIn_ResearchActivity_hasPlasmaSource,torch,Diagnostic Device,Plasma Source
DBDs,measures,rise fall time,Plasma Source,Quantity
nozzle,measures,pressure,Diagnostic Device,Quantity
quasi periodic,generatedBy_measures,electric field,Plasma Study,Quantity
coil,usedIn_ResearchActivity_investigates,Lorentz forces,Diagnostic Device,Physical Effect
μm,unit_of,flow,Unit,Quantity
air,used_in,cold plasma,Medium,Plasma Source
length to diameter ratios,hasUnit,mm,Quantity,Unit
plasma processing system,usedIn_ResearchActivity_hasMedium,clearance gas,Diagnostic Device,Medium
irradiance,hasUnit,mm,Quantity,Unit
DBD reactor,measures,atomic density distributions of nitrogen,Plasma Source,Quantity
RF power source,measures,electric field,Diagnostic Device,Quantity
time integration,usesDevice_Device_measures,current pulse,Scientific Experiment,Quantity
digital oscilloscope,measures_hasUnit,MHz,Diagnostic Device,Unit
sccm,unit_of,flow direction,Unit,Quantity
vol,unit_of,E n,Unit,Quantity
nm,unit_of,duty cycles,Unit,Quantity
DBD,measures,pause time,Plasma Source,Quantity
count rates,hasUnit,ns,Quantity,Unit
discharge development,generatedBy_measures,laser pulse duration,Plasma Study,Quantity
Faraday shield,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
device,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
flow rate,hasUnit,sccm,Quantity,Unit
grid electrode,measures,voltage,Plasma Source,Quantity
microdischarges,measures_hasUnit,lm,Plasma Source,Unit
direct current,measures,duration,Plasma Source,Quantity
power controller,usedIn_ResearchActivity_hasPlasmaSource,high frequency,Diagnostic Device,Plasma Source
electrical characterization,usesDevice_Device_measures,current maxima,Scientific Experiment,Quantity
line of sight integration,usesDevice_Device_measures,emission,Scientific Experiment,Quantity
Vacuum system,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
nm,unit_of,excitation rate,Unit,Quantity
spectroscopic techniques,hasMedium,dry air,Scientific Experiment,Medium
nonthermal,generatedBy_measures,pressure,Plasma Study,Quantity
kV pp,unit_of,half cycles,Unit,Quantity
neon,used_in,plasma jet,Medium,Plasma Source
radius,hasUnit,sccm,Quantity,Unit
bias power source,usedIn_ResearchActivity_hasPlasmaSource,pulsed,Diagnostic Device,Plasma Source
switch,usedIn_ResearchActivity_hasPlasmaSource,plasma torch,Diagnostic Device,Plasma Source
sccm,unit_of,channel positions,Unit,Quantity
see,unit_of,starting point of the streamer,Unit,Quantity
accumulated surface charge,investigates,propagation,Scientific Experiment,Physical Effect
sccm,unit_of,residence times,Unit,Quantity
volume,hasUnit,kPa,Quantity,Unit
kV,unit_of,discharge current rise,Unit,Quantity
power source,usedIn_ResearchActivity_hasPlasmaSource,upper electrode,Diagnostic Device,Plasma Source
rise time,hasUnit,Hz,Quantity,Unit
ICCD photos,usesConfiguration,discharge cell,Scientific Experiment,Configuration
power,hasUnit,mm,Quantity,Unit
streak measurements,usesConfiguration,single filament,Scientific Experiment,Configuration
the gas injection ports,usedIn_ResearchActivity_hasPlasmaSource,capacitively coupled plasma,Diagnostic Device,Plasma Source
discharge characteristics,generatedBy_measures,discharge energy,Plasma Study,Quantity
DBD,measures,frequency,Plasma Source,Quantity
matching unit,measures,power,Diagnostic Device,Quantity
plasma reactor,usedIn_ResearchActivity_investigates,plasma discharge,Diagnostic Device,Physical Effect
electron accelerator,measures,high energy,Plasma Source,Quantity
gas analysis,measures,mass,Diagnostic Device,Quantity
spectral lines,generatedBy_measures,radiation intensity,Plasma Study,Quantity
linear accelerator system,usedIn_ResearchActivity_hasPlasmaSource,pulsed,Diagnostic Device,Plasma Source
kV,unit_of,O 2 concentration,Unit,Quantity
lateral expansion,hasUnit,mm ns 1,Quantity,Unit
FastFrame TM mode,usesDevice_Device_measures,current,Scientific Experiment,Quantity
half cycle,hasUnit,vol,Quantity,Unit
microwave antenna,measures,electric field intensity,Diagnostic Device,Quantity
electron current,hasUnit,ppm,Quantity,Unit
high -frequency power supply,usedIn_ResearchActivity_hasPlasmaSource,high frequency,Diagnostic Device,Plasma Source
resonance cavity,usedIn_ResearchActivity_hasPlasmaSource,plasma processor,Diagnostic Device,Plasma Source
s,unit_of,times,Unit,Quantity
distance,hasUnit,mm,Quantity,Unit
pulse power supply device,usedIn_ResearchActivity_investigates,magnetic saturation,Diagnostic Device,Physical Effect
flowing regime,hasMedium,gas mixture,Scientific Experiment,Medium
DBDs,measures,duty cycle,Plasma Source,Quantity
water,used_in,plasma -arc,Medium,Plasma Source
noble gases,used_in,jets,Medium,Plasma Source
accumulation of multiple DBDs,hasPlasmaSource_generates,discharge channel,Scientific Experiment,Plasma Study
streak and iCCD images,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
Q U plots,usesDevice_Device_measures,frequency,Scientific Experiment,Quantity
electrodes,measures,distance,Diagnostic Device,Quantity
high -voltage power supply,measures,corona onset voltage,Diagnostic Device,Quantity
He N 2 mixtures,used_in,BD,Medium,Plasma Source
oxidizing gas,used_in,jet,Medium,Plasma Source
quantitative measurement of surface charges,usesDevice_Device_measures,active species densities,Scientific Experiment,Quantity
wafer,usedToDiagnose_MaterialEntity_hasApplicationField,plasma treatment,Diagnostic Device,Application Field
high voltage transformer,usedIn_ResearchActivity_hasPlasmaSource,load electrodes,Diagnostic Device,Plasma Source
DBD,measures_hasUnit,mm,Plasma Source,Unit
O 2 in N 2,used_in,positive pulsed corona discharge,Medium,Plasma Source
cameras,usedIn_ResearchActivity_hasMedium,atmospheric pressure,Diagnostic Device,Medium
pump out the gas,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
burning voltage,hasUnit,kV,Quantity,Unit
s,unit_of,applied voltage,Unit,Quantity
experimental,hasPlasmaSource_generates,striations,Scientific Experiment,Plasma Study
striations,generatedBy_measures,intensity,Plasma Study,Quantity
tunable LC circuit,usedIn_ResearchActivity_hasPlasmaSource,electron discharge,Diagnostic Device,Plasma Source
gas compositions,used_in,APTD,Medium,Plasma Source
ICCD camera recordings,usesDevice_Device_measures,time,Scientific Experiment,Quantity
PIT,generatedBy_measures,time,Plasma Study,Quantity
kHz,unit_of,output powers,Unit,Quantity
device,measures,magnetic field,Diagnostic Device,Quantity
calibration procedure,investigates,polarization,Scientific Experiment,Physical Effect
plasma generating chamber,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
pulsed,measures,input voltage,Plasma Source,Quantity
duty cycle,hasUnit,ms,Quantity,Unit
hPa,unit_of,reduced electrical field,Unit,Quantity
permanent magnet,usedIn_ResearchActivity_investigates,ionization,Diagnostic Device,Physical Effect
power source,usedIn_ResearchActivity_investigates,catalysis of,Diagnostic Device,Physical Effect
plasmatron,measures,pressure,Plasma Source,Quantity
O2,used_in,discharge,Medium,Plasma Source
Torr,unit_of,Maxwellian electron energy distribution,Unit,Quantity
electrodes,usedIn_ResearchActivity_hasMedium,discharge gas,Diagnostic Device,Medium
APTD,uses,1 vol N 2 O in N 2,Plasma Source,Medium
switching element,measures,frequency,Diagnostic Device,Quantity
amplitude,hasUnit,kV,Quantity,Unit
experiment,hasMedium,0 1 vol O 2,Scientific Experiment,Medium
ions,used_in,ion accelerator,Medium,Plasma Source
ultra high vacuum chamber,measures,temperature,Diagnostic Device,Quantity
atmospheric pressure,generatedBy_measures,current,Plasma Study,Quantity
discharge characteristics,generatedBy_measures,pulse energy,Plasma Study,Quantity
supply unit,measures,bias voltage,Diagnostic Device,Quantity
cantilevered component,usedIn_ResearchActivity_investigates,emit light,Diagnostic Device,Physical Effect
divider,measures,Resistances,Diagnostic Device,Quantity
Hamamatsu C5680,measures_hasUnit,sccm,Diagnostic Device,Unit
N 2 O 2 gas mixtures,used_in,DBDs,Medium,Plasma Source
capacitor,measures,radio frequency power,Diagnostic Device,Quantity
temperature sensor,usedIn_ResearchActivity_hasPlasmaSource,anode coil,Diagnostic Device,Plasma Source
atmospheric -pressure plasma,hasApplicationField,dyeing engineering,Plasma Study,Application Field
radio frequency,measures,electromagnetic radiation,Plasma Source,Quantity
emission in,hasUnit,kV,Quantity,Unit
0 1mm,unit_of,negative ion density,Unit,Quantity
side on,usesDevice_Device_measures,emission,Scientific Experiment,Quantity
DBDs,measures,transferred charge,Plasma Source,Quantity
atmospheric pressure,uses,molecular gases,Plasma Source,Medium
generator,usedIn_ResearchActivity_hasPlasmaSource,cold plasma,Diagnostic Device,Plasma Source
high -frequency,measures,intensity,Plasma Source,Quantity
P6015A,measures,voltage,Diagnostic Device,Quantity
measured current,usesDevice_Device_measures,current,Scientific Experiment,Quantity
CCS technique,hasMedium,air,Scientific Experiment,Medium
Td,unit_of,energies,Unit,Quantity
reactor,usedToDiagnose_MaterialEntity_hasApplicationField,nuclear fusion,Diagnostic Device,Application Field
deflection plates,usedIn_ResearchActivity_investigates,electron sheath,Diagnostic Device,Physical Effect
anode,usedIn_ResearchActivity_investigates,cooling,Diagnostic Device,Physical Effect
recorded,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
ignition voltage,hasUnit,Wm 2,Quantity,Unit
plasma reactors,usedIn_ResearchActivity_investigates,plasma discharge,Diagnostic Device,Physical Effect
temporally resolved,hasPlasmaSource_generates,discharge development,Scientific Experiment,Plasma Study
Zener diodes,usedIn_ResearchActivity_hasPlasmaSource,DBDs,Diagnostic Device,Plasma Source
non -thermal plasma,generatedBy_measures,electric potential,Plasma Study,Quantity
permanent magnet,usedIn_ResearchActivity_hasMedium,ionizable gas,Diagnostic Device,Medium
torch,uses,oxidizing gas,Plasma Source,Medium
camera,measures,distance,Diagnostic Device,Quantity
APTD,measures,half cycles,Plasma Source,Quantity
power circuit,measures,plasma density,Diagnostic Device,Quantity
SPECTROMETRY,usedIn_ResearchActivity_hasPlasmaSource,PLASMA SOURCE,Diagnostic Device,Plasma Source
observed,hasMedium,gases,Scientific Experiment,Medium
collecting electrode,measures,flow,Plasma Source,Quantity
magnet,usedIn_ResearchActivity_investigates,cooldown,Diagnostic Device,Physical Effect
Experimental results,hasMedium,binary oxygen nitrogen mixtures,Scientific Experiment,Medium
